loss,accuracy,val_loss,val_accuracy
0.8222346703211466,0.5020833611488342,0.696323549747467,0.5
0.6806264956792195,0.5604166388511658,0.6935224413871766,0.5
0.6568920056025187,0.606249988079071,0.6475152691205343,0.5249999761581421
0.5749618291854859,0.675000011920929,0.5688940485318502,0.8583333492279053
0.41339938044548036,0.8062499761581421,0.7197339971860249,0.5833333134651184
0.28356915414333345,0.8916666507720947,0.274514502286911,0.8833333253860474
0.1777977595726649,0.9375,0.14563164611657461,0.9333333373069763
0.11037167583902677,0.9645833373069763,0.29454319874445595,0.8916666507720947
0.07940977439284325,0.9750000238418579,0.35286451180775963,0.8833333253860474
0.06250300221145152,0.981249988079071,0.2982427100340525,0.8999999761581421
